BB x,BB y,Field x,Field y,Rotation
1.87,-1.5,1.95,-1.75,-1.9
1.68,-1.49,1.29,-1.75,-6.3
1.49,-1.43,0.75,-1.7,-12.4
1.38,-1.36,0.6,-1.64,-18.0
1.44,-1.27,0.82,-1.47,-23.4
1.47,-1.14,0.96,-1.27,-29.1
1.43,-1.05,1.04,-1.07,-34.6
1.37,-0.94,1.07,-0.84,-40.2
1.31,-0.82,1.02,-0.64,44.2
1.29,-0.7,0.97,-0.46,38.6
1.31,-0.59,1.01,-0.25,32.9
1.29,-0.49,1.0,-0.09,27.4
1.28,-0.41,1.08,0.07,21.8
1.26,-0.37,1.2,0.22,16.1
1.26,-0.33,1.22,0.31,10.6
1.23,-0.29,1.18,0.4,5.0
0.99,-0.24,0.97,0.48,-0.2
0.78,-0.22,0.77,0.5,-5.8
0.74,-0.24,0.7,0.45,-11.3
0.76,-0.31,0.75,0.39,-16.8
0.84,-0.38,0.77,0.28,-22.5
0.91,-0.45,0.81,0.15,-28.0
0.96,-0.52,0.92,-0.07,-33.5
0.97,-0.58,0.91,-0.25,-38.9
1.04,-0.69,0.96,-0.5,-44.4
1.16,-0.82,1.03,-0.73,40.0
1.29,-0.95,1.07,-0.95,34.5
1.37,-1.08,1.01,-1.16,28.9
1.35,-1.19,1.02,-1.36,23.1
1.35,-1.23,1.09,-1.5,17.6
1.3,-1.29,1.06,-1.62,12.0
1.32,-1.33,0.89,-1.71,6.7
1.35,-1.36,1.19,-1.75,2.2
1.59,-1.43,2.19,-1.97,1.8
1.44,-1.42,1.59,-1.98,6.5
1.47,-1.39,1.46,-1.9,12.1
1.49,-1.35,1.41,-1.82,17.9
1.5,-1.33,1.35,-1.66,23.5
1.51,-1.21,1.38,-1.49,29.0
1.37,-1.08,1.46,-1.29,34.8
1.22,-0.94,1.44,-1.11,40.1
1.07,-0.78,1.35,-0.9,-44.2
0.98,-0.7,1.31,-0.7,-38.4
0.93,-0.64,1.26,-0.49,-32.8
0.85,-0.57,1.12,-0.29,-27.3
0.74,-0.48,1.05,-0.13,-21.7
0.66,-0.4,0.99,0.02,-16.1
0.61,-0.3,0.9,0.12,-10.3
0.64,-0.26,0.93,0.19,-4.7
0.86,-0.29,1.13,0.24,0.9
1.07,-0.32,1.27,0.24,6.3
1.09,-0.37,1.25,0.18,11.8
1.16,-0.41,1.27,0.1,17.4
1.22,-0.46,1.21,-0.02,23.2
1.28,-0.52,1.16,-0.18,28.7
1.33,-0.61,1.18,-0.34,34.5
1.33,-0.72,1.13,-0.53,40.0
1.38,-0.86,1.19,-0.76,-44.4
1.46,-0.97,1.21,-0.98,-39.0
1.53,-1.07,1.18,-1.17,-33.3
1.57,-1.17,1.02,-1.38,-27.5
1.53,-1.31,0.76,-1.6,-21.9
1.46,-1.38,0.43,-1.76,-16.3
1.58,-1.46,0.57,-1.82,-10.5
1.66,-1.51,0.94,-1.86,-5.1
1.7,-1.52,1.43,-1.89,-1.1
